Date,Open,High,Low,Close,Volume,Adj Close
10/15/2014,6.9,7.06,6.86,7.04,702100,7.04
10/14/2014,7.07,7.09,6.92,6.97,910100,6.97
10/13/2014,7.01,7.08,6.97,6.99,556800,6.99
10/10/2014,7.03,7.15,6.98,6.99,723300,6.99
10/9/2014,7.17,7.22,7.04,7.07,662000,7.07
10/8/2014,6.94,7.16,6.93,7.16,994200,7.16
10/7/2014,7.17,7.17,6.92,6.94,979000,6.94
10/6/2014,7.3,7.31,7.17,7.18,583800,7.18
10/3/2014,7.33,7.4,7.25,7.26,723600,7.26
10/2/2014,7.4,7.49,7.3,7.45,549200,7.27
10/1/2014,7.46,7.48,7.34,7.39,679100,7.21
9/30/2014,7.55,7.55,7.43,7.43,771300,7.25
9/29/2014,7.43,7.55,7.42,7.53,463400,7.35
9/26/2014,7.4,7.48,7.35,7.47,345000,7.29
9/25/2014,7.48,7.48,7.32,7.38,541400,7.2
9/24/2014,7.42,7.48,7.37,7.4,384000,7.22
9/23/2014,7.52,7.56,7.4,7.41,645300,7.23
9/22/2014,7.65,7.68,7.51,7.52,495700,7.34
9/19/2014,7.78,7.85,7.59,7.69,1056400,7.5
9/18/2014,7.89,7.9,7.68,7.71,671100,7.52
9/17/2014,7.77,7.96,7.7,7.88,682000,7.69
9/16/2014,7.69,7.79,7.67,7.75,345900,7.56
9/15/2014,7.78,7.79,7.67,7.71,408900,7.52
9/12/2014,8.03,8.04,7.75,7.76,831500,7.57
9/11/2014,7.94,8.08,7.91,8.05,463400,7.86
9/10/2014,8.07,8.07,7.93,7.95,710000,7.76
9/9/2014,8.15,8.15,8.03,8.07,341300,7.88
9/8/2014,8.09,8.16,8.08,8.15,306300,7.95
9/5/2014,8.01,8.09,8.01,8.08,314400,7.88
9/4/2014,8.04,8.04,8,8.03,370000,7.84
9/3/2014,8.11,8.15,7.99,8,408500,7.81
9/2/2014,8.12,8.13,8.05,8.07,514900,7.88
8/29/2014,8.05,8.09,7.99,8.09,542100,7.89
